Country (or dependency),Population(2020),Land Area (Km²)
Others,2651974746.0,73047617.0
China,1439323776.0,9388211.0
India,1380004385.0,2973190.0
United States,331002651.0,9147420.0
Indonesia,273523615.0,1811570.0
Pakistan,220892340.0,770880.0
Brazil,212559417.0,8358140.0
Nigeria,206139589.0,910770.0
Bangladesh,164689383.0,130170.0
Russia,145934462.0,16376870.0
Mexico,128932753.0,1943950.0
Japan,126476461.0,364555.0
Ethiopia,114963588.0,1000000.0
Philippines,109581078.0,298170.0
Egypt,102334404.0,995450.0
Vietnam,97338579.0,310070.0
DR Congo,89561403.0,2267050.0
